Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XD|13037|46.189495|-122.453896|737.2|WGS84|2014-07-23T01:23:40|2014-07-27T00:00:00
XD|13038|46.188126|-122.456757|784.7|WGS84|2014-07-23T01:32:50|2014-07-27T00:00:00
XD|13039|46.18296|-122.458073|858.5|WGS84|2014-07-23T01:33:17|2014-07-27T00:00:00
XD|1304|46.061887|-122.367918|1013.2|WGS84|2014-07-22T23:26:43|2014-07-27T00:00:00
XD|13040|46.179198|-122.460719|928.0|WGS84|2014-07-23T01:44:10|2014-07-27T00:00:00
XD|13041|46.178837|-122.464254|914.7|WGS84|2014-07-23T01:44:42|2014-07-27T00:00:00
XD|13042|46.178546|-122.466375|904.8|WGS84|2014-07-23T01:53:20|2014-07-27T00:00:00
XD|13043|46.178651|-122.468046|907.5|WGS84|2014-07-23T01:50:31|2014-07-27T00:00:00
XD|13044|46.177525|-122.471343|891.3|WGS84|2014-07-23T02:02:18|2014-07-27T00:00:00
XD|13045|46.178085|-122.474095|886.5|WGS84|2014-07-23T01:56:20|2014-07-27T00:00:00
XD|13046|46.180293|-122.476741|867.1|WGS84|2014-07-23T02:08:57|2014-07-27T00:00:00
XD|13047|46.184|-122.480331|855.8|WGS84|2014-07-23T02:04:41|2014-07-27T00:00:00
XD|13048|46.189459|-122.482999|858.8|WGS84|2014-07-23T02:18:23|2014-07-27T00:00:00
XD|13049|46.189462|-122.486088|866.6|WGS84|2014-07-23T02:13:14|2014-07-27T00:00:00
XD|1305|46.062875|-122.366244|988.6|WGS84|2014-07-22T23:19:51|2014-07-27T00:00:00
XD|13050|46.190729|-122.488591|863.9|WGS84|2014-07-23T02:24:52|2014-07-27T00:00:00
XD|13051|46.192902|-122.491214|859.8|WGS84|2014-07-23T02:21:28|2014-07-27T00:00:00
XD|13052|46.192996|-122.492951|843.1|WGS84|2014-07-23T02:31:05|2014-07-27T00:00:00
XD|13053|46.192775|-122.495843|847.7|WGS84|2014-07-23T02:28:51|2014-07-27T00:00:00
XD|13054|46.192667|-122.501345|832.0|WGS84|2014-07-23T02:38:47|2014-07-27T00:00:00
XD|13055|46.193647|-122.504298|832.9|WGS84|2014-07-23T02:36:24|2014-07-27T00:00:00
XD|13056|46.19325|-122.505841|840.5|WGS84|2014-07-23T02:48:55|2014-07-27T00:00:00
XD|13057|46.193415|-122.509135|842.4|WGS84|2014-07-23T02:43:08|2014-07-27T00:00:00
XD|13058|46.191624|-122.514826|853.4|WGS84|2014-07-23T03:03:00|2014-07-27T00:00:00
XD|13059|46.19042|-122.5172|855.3|WGS84|2014-07-23T02:51:14|2014-07-27T00:00:00
